"V1","V2","V3","V4","V5","V6"
-13.3564996313674,8.70562568823578,-8.54737039339816,-13.2253250232884,-3.05354731509678,2.39809090693486
-9.64253248137875,8.69717604264951,-5.48693879129864,-10.1043873398103,-2.73781360382938,0.994209511765432
-8.14773533706365,4.58295467019337,-7.62468543206592,-9.74923534420659,-1.1062647684062,2.17121279887036
-11.1416230446528,8.79819546782847,-8.35235260827506,-13.5414903300334,-2.82994721139028,1.79446838306081
-10.0174505561543,6.49196997080111,-8.52503037786841,-12.5105081063359,-1.76762415406062,1.99754733488366
-8.45908720017053,4.7327314563097,-5.79601139160027,-8.53668700731609,-1.91437440932159,2.4237586807687
-8.44929834805294,5.7024243255817,-5.16742402471514,-8.70369258321323,-1.82068274086615,0.0525122624778696
-13.7562854777363,10.67317844912,-10.3480917671629,-16.2096374785472,-3.89081256911661,2.28792321835595
-11.0968364569465,9.021080141003,-7.64177459200836,-12.287471510857,-3.40370131099918,1.317459772333
-10.1118363142902,5.15121743486605,-5.74624306423044,-8.55546350697887,-1.80245612225827,1.24251959400966
-9.54180728108274,7.42249094814756,-6.02704139091228,-10.2488521825283,-3.25578504420331,1.43827276407645
-9.49888169431023,8.7613764338047,-8.77713618278195,-12.6914138746792,-2.28129618811356,0.988099385671371
-10.3479821756917,6.54886270548457,-10.1297859940043,-13.707666491313,-1.9845843320077,2.69924848041356
-11.5036058318762,5.19396812806823,-7.78897894294516,-10.3417346990132,-1.91315983218709,2.47642854078692
-8.9330953222403,4.34428266477405,-6.99047840077735,-10.4914863276125,-1.14329826271031,2.09836416034006
-2.29395594851083,1.69469125840823,0.362658564871259,-2.53269165635157,-2.19012918750521,1.14700347831975
0.459786359085129,-1.22880363749372,5.65674050555571,3.09398836545699,-0.944536941553829,0.578198617870457
-0.620850756810344,0.165382265483796,3.84066756179912,2.38740658342113,-1.58963334552776,-0.00754852152048198
-1.99197164746703,2.83479690159627,2.54783345810875,-0.801913194727804,-2.32160342139193,0.498391663095005
-5.22468488492826,3.19522872660507,-0.767165914421679,-3.61126191349995,-2.67008790395254,1.64065195541345
-2.12585755265007,1.73221266563977,-1.72216497896376,-2.94758891532259,-1.99337911322935,-0.385452528561913
-2.35453365614222,1.83828276541906,-3.4504681706958,-5.41046913143431,-0.656934760733656,-0.703188023303999
-2.74284968046915,3.50693801821916,-0.827586870502545,-3.76189164523997,-2.04956628272723,-0.504450549812377
-2.4483857738168,5.61041455991793,-4.01864922430108,-5.57653941252448,-3.04502215911343,-0.259361317318732
0.807263861673808,1.11640667601268,-0.375888389064131,-1.82068161079649,-1.10447046265685,-2.09806097131264
10.6151426143096,-7.96857426736029,5.50819196310378,11.6619325768327,2.91921212493291,-1.49639123140924
6.74876219779381,-4.04869667598258,4.1226017460921,8.70833085440103,2.00340140908443,-1.93161185625355
9.34213878086384,-8.52991209928912,8.60903718992147,13.9151655052726,3.17097389731372,-2.92892414510772
9.5843379987641,-6.44631524681601,7.16219376384637,11.760355159068,2.0039133431772,-1.78977295944171
4.76844670869748,-5.69915339596194,0.762834000212665,5.76760173206874,2.16213458621802,-0.567759640665719
7.53287999463615,-4.54243126118301,5.76966710293651,8.62360097005292,3.1101732225796,-2.28795217655917
5.93249349659683,-1.99828837118984,2.59135202355154,5.61691745332612,1.78914071451196,-1.7655271896632
8.26295858549046,-1.20984151899432,6.10030585983541,8.98485097308694,1.77127311279716,-3.43034908058431
8.08568071642512,-2.17486207260605,5.99697202057125,7.24144777905741,2.3626972595794,-3.48335071496476
6.63652457771372,-3.85812681234245,4.06379624802874,8.13544792079402,2.85015153787652,-2.16045347168097
7.8765853588958,-1.50827893830992,6.24431254511458,9.47507138644293,1.69703395090401,-3.32992056964376
4.12497677295381,-0.077147358904308,2.57357845778122,3.80351108507189,1.42081140153775,-2.82258709181314
2.93314544865052,0.614249526251515,2.82749565937395,4.50603338318658,0.296547799090318,-2.10691195706783
7.8687904384451,-3.92089211260983,5.99352418227706,9.69262958426819,2.11961393012621,-2.57584914507922
8.94526357765506,-3.32516178379355,5.14302197900735,9.56538981711615,2.19643428428685,-2.67166327540775
-3.41170176707368,1.07393151561415,-2.1374932169993,-2.77000394185067,0.125228700640804,2.03994308314317
-6.36847842427471,5.14692088459629,-6.8185043563305,-8.43041313265793,-0.951776133143283,1.9992354381608
-5.61759754784326,2.44148263072932,-7.17713897486787,-7.52164264021615,-0.0731454243846184,2.1168873644092
-2.98429231500841,1.65069434782449,-4.52911252302786,-4.89776235621105,-0.265581869333978,2.10488655955918
-2.97121010614573,1.32241191946579,-4.40029719759254,-4.62257370107577,-0.494825332634947,2.67175748988585
-4.1407820544005,-1.92087587531453,-3.95289021647958,-1.82881075847273,-0.471351201643565,3.22858846648875
-0.996420949210724,-1.79783433307902,-3.72389320268685,-2.88623144553298,0.367552270431371,2.20333019290627
-0.572290704367545,-1.9168319223973,-1.6660753567628,-0.453078063760909,0.298965430433653,1.87771622794916
-3.7089193724811,-2.49354194695341,-4.79722485409223,-3.9953299313689,-0.0426994020960139,4.00712167221008
-1.79235072987172,-0.876036949376226,-2.42194716235807,-0.625983957765821,-0.379866086783114,1.88275894279467
-0.317805678046973,-1.5471317157803,-2.89534742615038,-1.09317950784608,0.302753525880601,2.24245091485715
