"V1","V2","V3","V4","V5","V6"
3.51985511104852,-6.84667113435162,7.2618104485412,8.25981481631941,5.81143517482957,5.01585768801841
6.69659552545793,-3.55909709229552,12.0405741494953,11.9929760518789,8.85026881113502,5.28406100040261
5.72394305643771,-6.46676756143079,9.31855577086071,7.52098474742848,4.64905798130235,4.90597207458747
6.70105951700415,-2.0754353819606,8.47575653108768,6.32245279670917,6.9586667547742,6.28710442800876
1.83467686665139,-8.29875480791358,4.5125596528492,7.83735750914559,5.41764207559788,8.88459333708359
4.33247231267089,-1.9387791567088,10.8061101539618,4.3603369688288,2.35614163012518,3.58051610228251
4.18905346723934,-4.60893719993846,2.59840975086405,9.34427898523836,5.19676001182335,7.07141966642127
4.56742475981826,-9.23824023770205,3.14642453549905,7.85272672729185,7.49011381458536,4.82334722500562
1.2210932684792,-3.79599424110319,2.57684035937998,11.3761388313125,9.32966724377965,2.4988449500074
1.19932258466651,-5.72205807770831,3.55603514229758,9.97600833016915,7.83877780227213,5.08153922368862
3.53382395309982,-2.05333434607585,6.83563323283473,8.61688174030861,8.56512651048846,9.501921531703
3.79427639867084,-6.97364886946778,8.3169276150894,5.80409902635914,10.1736948896365,7.39123883039691
3.9485181378085,-3.77432155206061,3.25546790492673,6.0144789786389,6.44583081383961,5.34307289103789
6.49120600883429,-2.57289646787388,9.01669901051841,3.63057831291835,5.60167378190453,6.38532661198594
5.46423046998443,-3.16690174357064,8.58987597046113,1.10925217081009,8.11501049011982,4.39117776283718
1.70395040008954,-4.42753822104775,5.23927980034853,-6.45347375751046,6.36119956169877,0.600359997153096
-3.86515861530709,-2.82236665099398,5.96582556666062,-6.59810026688016,9.71341458852597,8.35477703508986
-6.90974294054805,-3.83709771258092,9.21782339448727,0.0246583406437129,10.6796023228043,6.15497183060933
-6.84217441532939,-7.96130172868899,10.9170191420016,-3.15239100175593,4.22360701243735,2.65453724530882
-6.83087022637266,-2.32569331429735,7.01954669496437,0.350152636049656,7.53073175034449,3.44071516384401
-1.99894152678874,0.036214930688251,14.3751175597045,-3.91610842751493,-8.72692540173415,6.14681023436502
-3.7852270927148,1.45595930428332,4.43063544205954,-4.54419025789384,-5.19090263204445,2.38621941380238
-3.75085212647341,5.28072862654007,4.96000627295826,-4.57375129022541,-3.15623762456642,5.18902252603875
-6.4935306115945,4.95796936803361,6.38008495966564,-1.04685474833386,-5.62288811627716,2.69378915096974
-5.5877698342971,2.83058258872457,4.09949191219053,-3.26332161532313,-4.91966266831527,8.11353019020702
-5.88154447924417,4.75312017559075,-0.758254441387873,-0.9570872788523,-9.40839136295748,-7.94913966691236
-5.36026586689487,1.50534067411542,-7.45028756794626,-4.05914643328546,-5.29358728737016,-3.20985067491906
-1.35881607134273,7.80359715729561,-8.52720611138327,-3.18943674378685,-6.67449733268678,-12.8768816007765
-4.16830058989333,5.03862784187432,-5.62435507700126,-9.03484421542426,-4.8353913140358,-6.03160910941607
-3.47592454350226,7.88935001750475,-2.96670581764047,-8.67073879060047,0.154782781209499,-2.98120350089873
4.69019196113842,8.35302596859773,-4.97430883879849,1.22353824529384,-4.29905348094157,-10.0494487662299
5.20869889915688,5.59173359221208,-3.36849149562206,-4.92221678452863,-4.82693394402453,-10.5009776607034
0.609547018333666,3.98652199079552,-1.77776730999293,-3.53795975042148,-6.48795761583654,-7.80847210833203
4.96393483959702,5.15685148792144,-6.92458447793004,-3.19270197638724,-5.0660035887435,-5.78674451360733
7.21235683116359,3.88195620666413,-14.5773766134158,-7.36229708855854,-5.4405862097991,-7.32179394523435
4.68821330616855,6.17852674375748,-6.48358264220112,-7.1081205950737,-6.70988948803917,-2.95488182211279
3.93947778649589,5.42156356997949,-3.53697323883891,-3.31641847358406,-1.55062935895225,-7.25596991715212
4.44386478773632,4.32719958237064,-7.0583649985411,-4.44779918369662,-4.22571573496614,-7.04323118315933
5.39745115901832,5.08988061949077,-1.89913022198963,-5.27133523553838,-8.93459161039041,-6.51482006821395
7.77797367293287,9.84228470974444,-2.75748340455552,-5.87380301565027,-6.35618072215063,-6.88763805231028
4.18626741155385,-6.70395470046339,-6.28479811809743,7.95459492449875,5.40514039362388,6.77628195289194
3.01613035797554,-6.82568838133416,2.13356557403493,5.87746200217496,6.03771449727753,8.12266770227693
5.73434120212417,-4.86579070731888,2.43131006078869,6.65625322897383,6.76299482975046,3.91825096242286
3.4607354685461,-2.70184497885036,-2.52978139871207,6.09312087625304,8.55968715463706,11.3837642309361
2.58568291518894,-3.7313896014435,-4.5716343903928,13.7363263847113,8.51489975092443,7.25595872160279
-5.17738393869428,-3.77426861793455,-0.119185933546408,10.0844866311391,8.86551560834026,5.689293732836
-5.38445412157744,-6.31368480966588,-4.63513712629702,6.44878124375887,6.2066863985767,8.32786546104335
-7.3819931635557,-5.65674487346874,-0.646490401045286,9.3832708550345,4.73394324333108,5.7668437778275
-4.99265223406844,3.11864435788165,-6.74720197306731,8.9423005442174,6.61801081313233,6.326033509389
-8.80304017854739,-3.26485636885352,-3.53597745837926,10.8216133527001,8.02137954717844,2.37338243988999
-4.58294454957404,-7.73498244239155,-4.97187598201847,6.06678521935514,6.85264681072286,9.5665867280739
-3.63942070714148,-8.01803492663659,-0.625254925096473,6.50484255736015,10.0985597415732,7.7757114454115
